"4110f7c","phenchua29","Wed, 25 Oct 2023 17:28:57 +0700","Add new routes that help redirect user to proper page after rejecting or accepting an order",	 1 file changed, 59 insertions(+), 10 deletions(-)	
"bb0036c","lebathinh2003","Tue, 24 Oct 2023 17:52:28 +0700","bring to stock, store list",	 12 files changed, 539 insertions(+), 45 deletions(-)	
"757fc2e","phenchua29","Tue, 24 Oct 2023 17:40:02 +0700","Fix small bugs",	 6 files changed, 512 insertions(+), 465 deletions(-)	
"455b157","Carl-Johnsons","Tue, 24 Oct 2023 17:34:19 +0700","fix send new email",	 1 file changed, 9 insertions(+), 4 deletions(-)	
"d02be17","phenchua29","Tue, 24 Oct 2023 16:46:44 +0700","Fix css, remove unnecessary columns",	 3 files changed, 8 insertions(+), 18 deletions(-)	
"7433456","phenchua29","Tue, 24 Oct 2023 16:46:23 +0700","uppercasing letters",	 4 files changed, 16 insertions(+), 16 deletions(-)	
"bdfa152","Quốc Zương","Tue, 24 Oct 2023 16:46:08 +0700","temp",	 1 file changed, 1 deletion(-)	
"3e8974a","Carl-Johnsons","Tue, 24 Oct 2023 16:44:26 +0700","add update voucher page and voucher list",	 6 files changed, 637 insertions(+), 3 deletions(-)	
"b86d0ee","phenchua29","Tue, 24 Oct 2023 16:29:20 +0700","Merge conflict",	 2 files changed, 7 deletions(-)	
"6f15c62","Quốc Zương","Tue, 24 Oct 2023 16:08:13 +0700","fix bug brand page",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"585d8b5","Carl-Johnsons","Tue, 24 Oct 2023 14:20:09 +0700","Add admin update info and upgrade send email multi-thread",	 7 files changed, 200 insertions(+), 187 deletions(-)	
"41cb5a4","phenchua29","Tue, 24 Oct 2023 13:18:49 +0700","Remove chilish icon",	 1 file changed, 29 insertions(+), 18 deletions(-)	
"02f98df","lebathinh2003","Tue, 24 Oct 2023 11:47:29 +0700","import list, import detail",	 8 files changed, 483 insertions(+), 111 deletions(-)	
"3b97db0","Quốc Zương","Tue, 24 Oct 2023 11:34:22 +0700","add UI for forgot password",	 4 files changed, 286 insertions(+), 2 deletions(-)	
"1e6c15e","Quốc Zương","Tue, 24 Oct 2023 11:33:44 +0700","add generateForgotPassword",	 1 file changed, 14 insertions(+)	
"e3a3c92","Quốc Zương","Tue, 24 Oct 2023 11:33:37 +0700","update exceptionUtils",	 1 file changed, 2 insertions(+)	
"bd604ce","Quốc Zương","Tue, 24 Oct 2023 11:33:25 +0700","add forgotPasswordEmailHTML for send mail",	 1 file changed, 103 insertions(+), 12 deletions(-)	
"f41318e","Quốc Zương","Tue, 24 Oct 2023 11:33:13 +0700","add new exception",	 1 file changed, 8 insertions(+), 6 deletions(-)	
"ecfa643","Quốc Zương","Tue, 24 Oct 2023 11:32:56 +0700","add forgot password in log controller",	 1 file changed, 51 insertions(+)	
"920e66f","Quốc Zương","Tue, 24 Oct 2023 11:32:28 +0700","add new exception EmailDuplicationException",	 1 file changed, 23 insertions(+)	
"ea86940","phenchua29","Tue, 24 Oct 2023 10:32:53 +0700","Button will now expand when it's alone",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"7023d3d","phenchua29","Tue, 24 Oct 2023 10:32:21 +0700","Remove unnecessary columns",	 3 files changed, 2 insertions(+), 16 deletions(-)	
"af67bab","Carl-Johnsons","Tue, 24 Oct 2023 10:30:13 +0700","Change filter in jsp to controller OrderManager",	 4 files changed, 193 insertions(+), 208 deletions(-)	
"b25af34","Quốc Zương","Tue, 24 Oct 2023 09:59:08 +0700","update UI for order manager",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"ad2b175","phenchua29","Tue, 24 Oct 2023 02:06:19 +0700","Merge conflict",	 2 files changed, 7 insertions(+)	
"9e018be","Quốc Zương","Tue, 24 Oct 2023 02:03:34 +0700","add UI for order manager activity log",	 1 file changed, 25 insertions(+), 24 deletions(-)	
"bcc0fad","phenchua29","Tue, 24 Oct 2023 02:03:19 +0700","Copy old css for admin Navbar",	 1 file changed, 639 insertions(+)	
"913a348","Quốc Zương","Tue, 24 Oct 2023 02:03:14 +0700","fix bug for userRefactor",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"8682129","Quốc Zương","Tue, 24 Oct 2023 02:02:56 +0700","add getUserForOrderActivityLogs in UserDAO",	 2 files changed, 43 insertions(+), 14 deletions(-)	
"29f1041","phenchua29","Tue, 24 Oct 2023 02:02:30 +0700","Change navbar",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"bbbcdab","Quốc Zương","Tue, 24 Oct 2023 02:02:13 +0700","add searchOrderActivityLog for OrderDAO",	 1 file changed, 94 insertions(+), 60 deletions(-)	
"dbfa487","phenchua29","Tue, 24 Oct 2023 02:01:54 +0700","Add new navbar for order manager",	 1 file changed, 61 insertions(+)	
"7e281f4","Quốc Zương","Tue, 24 Oct 2023 02:01:40 +0700","add function orderManagerActivityLog  admin controller",	 1 file changed, 31 insertions(+), 1 deletion(-)	
